customer_id,contact
ML-78227,938-282-8591
ML-78227,799-581-4713
ML-78227,781-482-4526
AM-99585,642-608-3572
AM-99585,304-601-3929
AM-99585,835-217-0277
CU-94010,216-459-6453
CU-94010,179-179-7783
CU-94010,881-581-4342
HC-11674,634-796-4249
HC-11674,635-603-5224
HC-11674,587-121-7879
MT-42139,624-443-2027
MT-42139,457-460-9508
MT-42139,310-433-6042
KT-58461,610-763-0492
KT-58461,447-961-8937
KT-58461,612-239-4748
NA-95910,987-877-0631
NA-95910,399-355-0123
NA-95910,318-466-2156
QC-33134,575-157-6453
QC-33134,906-285-6004
QC-33134,159-862-4774
RF-13605,541-453-6677
RF-13605,640-143-3247
RF-13605,919-592-7882
FD-22169,249-758-2246
FD-22169,271-114-3163
FD-22169,640-543-9366
QW-93437,979-970-5077
QW-93437,117-369-0177
QW-93437,290-733-8280
FV-25340,288-332-5018
FV-25340,138-160-2992
FV-25340,558-829-5371
BX-02349,271-618-3602
BX-02349,835-147-1886
BX-02349,828-262-5325
JZ-98723,457-963-9719
JZ-98723,718-396-5718
JZ-98723,376-707-4363
XF-01407,121-510-7591
XF-01407,715-279-2307
XF-01407,586-776-6174
JN-89651,542-948-9210
JN-89651,598-727-8080
JN-89651,466-349-7031
QJ-51997,413-604-8140
QJ-51997,974-928-5393
QJ-51997,320-888-2499
RG-22090,103-114-3317
RG-22090,561-872-1522
RG-22090,464-709-7027
SW-08664,611-840-0871
SW-08664,923-412-9358
SW-08664,687-675-8224
SL-02402,865-752-1842
SL-02402,412-740-0659
SL-02402,103-904-6137
SE-16394,961-213-0458
SE-16394,776-953-9885
SE-16394,963-609-5901
OV-58111,952-446-9034
OV-58111,684-254-5214
OV-58111,677-736-7804
HV-29891,597-438-6585
HV-29891,198-839-3565
HV-29891,448-917-4116
MH-47072,528-278-2886
MH-47072,533-914-2538
MH-47072,175-504-1505
RE-45044,708-485-0201
RE-45044,784-607-2025
RE-45044,423-756-2396
UG-56842,516-320-1266
UG-56842,298-778-0838
UG-56842,984-417-5282
VO-65478,503-567-7766
VO-65478,899-465-9333
VO-65478,651-856-7325
HI-89777,960-454-1382
HI-89777,157-610-0557
HI-89777,193-162-2537
HZ-08664,596-623-0292
HZ-08664,408-815-4536
HZ-08664,347-990-9033
PX-22792,188-567-5190
PX-22792,927-401-7743
PX-22792,200-291-0944
IR-14639,783-688-5845
IR-14639,183-475-0864
IR-14639,992-406-4639
