employee_id,employee_name,joining_date,employee_email,work_start_time,work_end_time,center_id,employee_status,employee_salary
EMP-4001,Davine,2021-06-13,djerosch0@npr.org,09:06:00,19:56:00,CEN-981,1,14643
EMP-4002,Delmor,2020-10-03,dcrayton1@wufoo.com,09:16:00,21:13:00,CEN-981,1,24342
EMP-4003,Haslett,2020-07-23,hmerriman2@hao123.com,09:23:00,21:21:00,CEN-981,1,13617
EMP-4004,Anastasia,2021-07-15,awinspeare3@omniture.com,09:26:00,18:26:00,CEN-981,1,10025
EMP-4005,Bren,2021-12-27,bburcher4@nbcnews.com,09:22:00,20:32:00,CEN-981,0,21427
EMP-4006,Celestine,2020-10-19,cagneau5@vistaprint.com,09:17:00,21:07:00,CEN-981,1,13841
EMP-4007,Remington,2020-11-10,redworthye6@a8.net,09:24:00,17:12:00,CEN-981,0,24566
EMP-4008,Marmaduke,2021-07-23,mkellie7@unesco.org,09:13:00,17:59:00,CEN-981,1,16557
EMP-4009,Harrison,2021-06-25,hgoodfield8@abc.net.au,09:29:00,19:11:00,CEN-981,1,21597
EMP-4010,Almeria,2020-07-26,aserrier9@jigsy.com,09:14:00,19:45:00,CEN-981,0,18218
EMP-4011,Gallard,2020-12-18,gthomersona@upenn.edu,09:24:00,17:09:00,CEN-982,0,20234
EMP-4012,Cathryn,2021-07-27,clebrunb@t.co,09:16:00,17:09:00,CEN-982,0,15181
EMP-4013,Reginald,2021-06-27,rtrussellc@surveymonkey.com,09:25:00,19:29:00,CEN-982,0,17792
EMP-4014,Christean,2021-03-20,ccooped@w3.org,09:14:00,18:32:00,CEN-982,0,12282
EMP-4015,Roshelle,2020-06-25,rbonellee@i2i.jp,09:11:00,20:24:00,CEN-982,0,20489
EMP-4016,Bride,2020-01-21,bjonasf@sun.com,09:21:00,20:11:00,CEN-982,1,13656
EMP-4017,Ferdie,2021-11-22,fstanbrookeg@tamu.edu,09:22:00,20:14:00,CEN-982,1,15447
EMP-4018,Maison,2020-08-10,mswindellsh@abc.net.au,09:18:00,19:22:00,CEN-982,0,17153
EMP-4019,Dale,2020-07-26,dhauggi@archive.org,09:12:00,18:23:00,CEN-982,0,10986
EMP-4020,Wald,2020-07-26,wsneppj@go.com,09:27:00,17:06:00,CEN-982,1,11578
EMP-4021,Stephanie,2021-07-09,sdziwiszk@elpais.com,09:17:00,18:21:00,CEN-983,0,15340
EMP-4022,Albertine,2021-02-24,apolinl@cbc.ca,09:07:00,19:22:00,CEN-983,0,17758
EMP-4023,Priscilla,2021-10-10,pgleetonm@comcast.net,09:08:00,17:48:00,CEN-983,0,22708
EMP-4024,Dela,2020-03-20,dcafferkyn@ucoz.com,09:18:00,19:12:00,CEN-983,0,12173
EMP-4025,Bella,2021-01-19,bfullertono@vk.com,09:18:00,20:09:00,CEN-983,0,24781
EMP-4026,Dale,2020-05-13,dconstantinep@mac.com,09:11:00,20:56:00,CEN-983,0,15169
EMP-4027,Flss,2020-11-30,fpachecoq@elpais.com,09:05:00,18:54:00,CEN-983,1,19597
EMP-4028,Krista,2021-08-27,kboguer@berkeley.edu,09:24:00,18:08:00,CEN-983,0,16869
EMP-4029,Menard,2020-07-14,msnelmans@wisc.edu,09:02:00,17:27:00,CEN-983,0,11488
EMP-4030,Rufus,2020-01-21,rpackingtont@baidu.com,09:09:00,18:56:00,CEN-983,0,12967
EMP-4031,Gabriella,2020-10-17,gmunksu@cloudflare.com,09:29:00,19:32:00,CEN-984,0,16267
EMP-4032,Chere,2021-04-18,ccrowcombev@123-reg.co.uk,09:04:00,18:23:00,CEN-984,1,13336
EMP-4033,Anthony,2020-01-11,agodainw@blog.com,09:01:00,17:53:00,CEN-984,0,17268
EMP-4034,Maria,2020-05-15,msleighx@dailymotion.com,09:21:00,20:40:00,CEN-984,0,22172
EMP-4035,Basilius,2021-11-15,bmaccostyey@photobucket.com,09:26:00,19:52:00,CEN-984,0,17613
EMP-4036,Amandi,2020-10-31,aoverellz@ucsd.edu,09:22:00,19:29:00,CEN-984,1,13191
EMP-4037,Mandi,2020-05-19,mlillegard10@qq.com,09:26:00,18:18:00,CEN-984,1,19318
EMP-4038,Merrile,2020-02-23,mlettson11@xinhuanet.com,09:25:00,21:11:00,CEN-984,1,20260
EMP-4039,Dugald,2020-08-20,ddahmel12@google.co.jp,09:09:00,20:46:00,CEN-984,0,19010
EMP-4040,Aubrey,2021-08-28,alauret13@oakley.com,09:21:00,20:19:00,CEN-984,1,18499
EMP-4041,Creighton,2020-02-12,ccrucitti14@t-online.de,09:11:00,17:47:00,CEN-985,0,23165
EMP-4042,Sheila-kathryn,2021-01-26,ssalmen15@miibeian.gov.cn,09:21:00,21:02:00,CEN-985,1,23958
EMP-4043,Newton,2020-09-30,nbalkwill16@jiathis.com,09:25:00,20:53:00,CEN-985,0,18061
EMP-4044,Chelsie,2021-10-19,cswansborough17@google.com.br,09:11:00,18:17:00,CEN-985,0,10630
EMP-4045,Channa,2020-09-03,ccraine18@businessinsider.com,09:13:00,18:48:00,CEN-985,1,21212
EMP-4046,Felice,2020-05-05,fdevers19@clickbank.net,09:14:00,18:26:00,CEN-985,0,13191
